Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 0
1 18
2 40
3 60
4 68
5 84
6 108
7 123
8 138
9 128
10 123
11 80
12 96
13 114
14 108
15 132
16 151
17 174
18 195
19 83
20 76
21 82
22 92
23 84
24 93
25 116
26 111
27 119
28 125
29 117
30 107
31 121
32 135
33 74
34 72
35 92
36 90
37 98
38 94
39 105
40 81
41 76
42 81
43 74
44 72
45 88
46 105
47 96
48 90
49 83
50 95
51 102
52 86
53 96
54 92
55 86
56 78
57 87
58 107
59 115
60 63
61 73
62 64
63 75
64 92
65 83
66 77
67 86
68 85
69 66
70 82
71 73
72 81
73 82
74 94
75 80
76 78
77 77
78 99
79 90
80 70
81 81
82 84
83 85
84 57
85 54
86 65
87 60
88 50
89 71
90 54
91 57
92 49
93 54
94 51
95 42
96 43
97 37
98 51
99 57
Negative cycle: none
Execution time: 0.006380 ms
