Algorithm: Kruskal's MST
MST edges:
0 3024 1
1 10597 1
2 1485 1
4 10114 1
20 40924 1
30 26561 1
34 3530 1
39 91 1
48 413 1
52 479 1
68 44827 1
79 24325 1
83 16806 1
84 170 1
84 39456 1
108 39657 1
128 7844 1
134 23110 1
134 40936 1
144 6737 1
155 454 1
166 23496 1
173 8622 1
182 567 1
194 1257 1
212 248 1
218 263 1
224 39031 1
226 26092 1
236 860 1
253 11792 1
267 396 1
268 39457 1
288 13870 1
303 41495 1
317 2554 1
344 39729 1
365 11778 1
374 49705 1
376 10733 1
398 35516 1
400 11727 1
402 47890 1
428 1700 1
440 30932 1
441 23737 1
469 22455 1
477 49557 1
481 16167 1
489 40623 1
534 8597 1
535 2399 1
557 1199 1
564 43223 1
570 976 1
576 4501 1
578 1563 1
579 26946 1
580 29962 1
580 44620 1
587 25100 1
596 2472 1
608 21119 1
610 27483 1
613 25715 1
615 3416 1
619 40082 1
624 710 1
624 12723 1
628 1701 1
643 19786 1
655 24379 1
700 10250 1
703 952 1
707 3679 1
714 45896 1
763 27919 1
772 18786 1
778 27580 1
779 6456 1
812 20859 1
815 6593 1
831 2928 1
835 10827 1
840 45063 1
843 22903 1
850 4150 1
851 25572 1
860 16591 1
870 43693 1
872 13540 1
919 3046 1
921 29273 1
935 1795 1
945 1366 1
955 3021 1
965 1592 1
968 36185 1
978 43000 1
991 28695 1
1002 7206 1
1002 19336 1
1008 38628 1
1021 19148 1
1022 1412 1
1027 11841 1
1029 37135 1
1076 4893 1
1124 36324 1
1142 3862 1
1162 19408 1
1169 13234 1
1177 1925 1
1221 15076 1
1229 41868 1
1258 10943 1
1259 9101 1
1288 36415 1
1292 2955 1
1294 2668 1
1312 45250 1
1358 37580 1
1360 14054 1
1378 4596 1
1381 16932 1
1397 14802 1
1424 2549 1
1437 7925 1
1458 37485 1
1460 21396 1
1463 45699 1
1473 23725 1
1518 9747 1
1520 41607 1
1530 18886 1
1540 49738 1
1582 12077 1
1590 38610 1
1596 2234 1
1634 8152 1
1652 27880 1
1673 6960 1
1679 31685 1
1706 16637 1
1713 21965 1
1730 10639 1
1734 40670 1
1743 4219 1
1760 12442 1
1774 5470 1
1779 49088 1
1784 16534 1
1828 39575 1
1878 32224 1
1892 5515 1
1892 12297 1
1901 31159 1
1910 22712 1
1964 29089 1
1970 4963 1
2029 47145 1
2033 17529 1
2064 21572 1
